system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.9803017602682313,0.9794807370184254,0.9798910766652701,0.9961227786752828,0.9881410256410257,0.992115848753017,0.9811347517730497,0.9851872952570859,0.9831568474166725,0.9858530969055211,0.9842696859721789,0.9850545909449865
baseline,dev,0.5400475812846947,0.5660847880299252,0.5527597402597402,0.4607977991746905,0.4419525065963061,0.4511784511784512,0.5910396323951752,0.5820135746606335,0.5864918780279281,0.5306283376181867,0.530016956428955,0.5301433564887065
baseline,test,0.5299938157081014,0.5732441471571906,0.5507712082262212,0.4861751152073733,0.4350515463917526,0.4591947769314473,0.5792374827744603,0.5739644970414202,0.5765889346136259,0.531802137896645,0.5274200635301212,0.5288516399237647
improved,train,0.7533591437030289,0.6926298157453936,0.7217192102105379,0.7738693467336684,0.4935897435897436,0.6027397260273973,0.6845928529584066,0.8323361823361823,0.7512696882031501,0.7372737811317013,0.6728519138904399,0.6919095414803618
improved,dev,0.6946494464944649,0.6259351620947631,0.6585045911674682,0.6431623931623932,0.3970976253298153,0.49102773246329523,0.6346507352941176,0.7815506508205999,0.7004818665990363,0.6574875249836586,0.6015278127483927,0.6166713967432665
improved,test,0.683271375464684,0.6151271753681392,0.6474110602324763,0.6199324324324325,0.3783505154639175,0.469910371318822,0.6189427312775331,0.7674101046882112,0.6852265799634222,0.6407155130582165,0.586962598506756,0.6008493371715735
